Age,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived
30.5,Q,7.75,0,3,female,0,0
30,Q,24.15,0,3,male,1,0
32,S,8.3625,0,3,male,0,0
24,S,9.5,0,3,male,0,0
48,S,7.8542,0,3,male,0,0
57,S,10.5,0,2,female,0,0
30,C,7.225,0,3,male,0,0
54,S,23,3,2,female,1,1
18,S,7.75,0,3,male,0,0
30,Q,7.75,0,3,male,0,0
5,S,12.475,0,3,female,0,1
30,Q,7.7375,0,3,male,0,0
43,S,211.3375,1,1,female,0,1
13,C,7.2292,0,3,female,0,1
17,S,57,0,1,female,1,1
29,S,30,0,1,male,0,0
30,S,23.45,2,3,male,1,0
25,S,7.05,0,3,male,0,0
25,S,7.25,0,3,male,0,0
18,S,7.4958,0,3,female,0,1
8,Q,29.125,1,3,male,4,0
1,S,20.575,2,3,male,1,1
46,C,79.2,0,1,male,0,0
30,Q,7.75,0,3,male,0,0
16,S,26,0,2,male,0,0
22,S,69.55,2,3,female,8,0
30,C,30.6958,0,1,male,0,0
25,S,7.8958,0,3,male,0,0
39,S,13,0,2,male,0,0
49,S,25.9292,0,1,female,0,1
31,S,8.6833,0,3,female,0,1
30,C,7.2292,0,3,male,0,0
30,S,24.15,1,3,female,1,0
34,S,13,0,2,male,0,0
31,S,26.25,1,2,female,1,1
11,S,120,2,1,male,1,1
0.42,C,8.5167,1,3,male,0,1
27,S,6.975,0,3,male,0,1
31,S,7.775,0,3,male,0,0
39,S,0,0,1,male,0,0
18,S,7.775,0,3,female,0,0
39,S,13,0,2,male,0,0
33,S,53.1,0,1,female,1,1
26,S,7.8875,0,3,male,0,0
39,S,24.15,0,3,male,0,0
35,S,10.5,0,2,male,0,0
6,S,31.275,2,3,female,4,0
30.5,S,8.05,0,3,male,0,0
30,S,0,0,1,male,0,0
23,S,7.925,0,3,female,0,0
31,C,37.0042,1,2,male,1,0
43,S,6.45,0,3,male,0,0
10,S,27.9,2,3,male,3,0
52,S,93.5,1,1,female,1,1
27,S,8.6625,0,3,male,0,1
38,S,0,0,1,male,0,0
27,S,12.475,1,3,female,0,1
2,S,39.6875,1,3,male,4,0
30,Q,6.95,0,3,male,0,0
30,S,56.4958,0,3,male,0,0
1,C,37.0042,2,2,male,0,1
30,Q,7.75,0,3,male,0,1
62,C,80,0,1,female,0,1
15,C,14.4542,0,3,female,1,1
0.83,S,18.75,1,2,male,1,1
30,C,7.2292,0,3,male,0,0
23,S,7.8542,0,3,male,0,0
18,S,8.3,0,3,male,0,0
39,C,83.1583,1,1,female,1,1
21,S,8.6625,0,3,male,0,0
30,S,8.05,0,3,male,0,0
32,S,56.4958,0,3,male,0,1
30,C,29.7,0,1,male,0,1
20,S,7.925,0,3,male,0,0
16,S,10.5,0,2,male,0,0
30,C,31,0,1,female,0,1
34.5,C,6.4375,0,3,male,0,0
17,S,8.6625,0,3,male,0,0
42,S,7.55,0,3,male,0,0
30,S,69.55,2,3,male,8,0
35,C,7.8958,0,3,male,0,0
28,S,33,1,2,male,0,0
35.5,C,89.1042,0,1,female,1,1
4,S,31.275,2,3,male,4,0
74,S,7.775,0,3,male,0,0
9,C,15.2458,1,3,female,1,0
16,S,39.4,1,1,female,0,1
44,S,26,0,2,female,1,0
18,S,9.35,1,3,female,0,1
45,S,164.8667,1,1,female,1,1
51,S,26.55,0,1,male,0,1
24,C,19.2583,3,3,female,0,1
30,C,7.2292,0,3,male,0,0
41,S,14.1083,0,3,male,2,0
21,S,11.5,0,2,male,1,0
48,S,25.9292,0,1,female,0,1
22,S,69.55,2,3,female,8,0
24,S,13,0,2,male,0,0
42,S,13,0,2,female,0,1
27,C,13.8583,0,2,female,1,1
31,S,50.4958,0,1,male,0,0
30,S,9.5,0,3,male,0,0
4,S,11.1333,1,3,male,1,1
26,S,7.8958,0,3,male,0,0
47,S,52.5542,1,1,female,1,1
33,S,5,0,1,male,0,0
47,S,9,0,3,male,0,0
28,C,24,0,2,female,1,1
15,C,7.225,0,3,female,0,1
20,S,9.8458,0,3,male,0,0
19,S,7.8958,0,3,male,0,0
30,S,7.8958,0,3,male,0,0
56,C,83.1583,1,1,female,0,1
25,S,26,1,2,female,0,1
33,S,7.8958,0,3,male,0,0
22,S,10.5167,0,3,female,0,0
28,S,10.5,0,2,male,0,0
25,S,7.05,0,3,male,0,0
39,Q,29.125,5,3,female,0,0
27,S,13,0,2,male,0,0
19,S,30,0,1,female,0,1
22,S,23.45,2,3,female,1,0
26,C,30,0,1,male,0,1
32,Q,7.75,0,3,male,0,0
